track_id,track_name,track_artist,track_popularity,track_album_id,track_album_name,track_album_release_date,playlist_name,playlist_id,playlist_genre,playlist_subgenre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
52Y7fihwIppKrBaNFwb56D,Cannonball,Dijon,39,0A7VM3YRxJxrxOKVHJGHwB,Cannonball,2019-02-06,indie poptimism,1E5VdGGWkpDQ682gdvJAZH,pop,indie poptimism,0.51,0.294,1,-8.24,0,0.0565,0.283,0,0.0825,0.396,121.442,159150
1DNRyoXyqj4b3sbtPjfGx3,Dirty,Sevendust,49,3u3tCOYA9fjvlfQKoMAk3T,All I See Is War,2018-05-11,Hard Rock Workout,6kXNv8J3HCYztxjOIUzApv,rock,hard rock,0.234,0.927,5,-5.869,0,0.433,1.20E-05,3.86E-05,0.114,0.278,131.003,197679
2Fxmhks0bxGSBdJ92vM42m,bad guy,Billie Eilish,95,0S0KGZnfBGSIssfF54WSJh,"WHEN WE ALL FALL ASLEEP, WHERE DO WE GO?",2019-03-29,urban CONTEMPORARY,1nFfDHtp8RY3obgen8KODl,r&b,urban contemporary,0.701,0.425,7,-10.965,1,0.375,0.328,0.13,0.1,0.562,135.128,194088
2WsEw27UpTg43WQiVbVeYB,Ain't Right,Isak Dahling,25,7yXSxxKKb59RsemoOrpKez,Ain't Right,2019-08-09,Charts 2020 🔥Top 2020🔥Hits 2020🔥Summer 2020🔥Pop 2020🔥Popular Music🔥Clean Pop 2020🔥Sing Alongs,3xMQTDLOIGvj3lWH5e5x6F,edm,pop edm,0.459,0.7,1,-8.922,0,0.0305,0.00217,2.35E-05,0.108,0.241,99.941,204000
2vk5VPlYfltzVbUmqjaYqC,Outro,Chico DeBarge,0,5NXBYIr7OScDZfI02pIAKD,Long Time No See,1997-11-18,90s R&B - The BET Planet Groove/Midnight Love Mix,7LjRWGUdOmBdPG1W1bga4i,r&b,new jack swing,0.848,0.748,4,-5.899,0,0.119,0.0797,0,0.285,0.63,127.949,244467
29tIhq8ByVaG5GVlnS4XRL,New Sky,RÜFÜS DU SOL,58,5Jazpq8mEgSgQs06mdwkQd,SOLACE,2018-10-19,Deep Electronic Music 2020 & Progressive House,5CMvAWTlDPdZnkleiTHyyo,edm,progressive electro house,0.643,0.744,5,-8.021,1,0.029,0.0213,0.287,0.17,0.194,124.004,327547
3SVXhtxFCNJnA4MkWF7sJp,There Is a Light That Never Goes Out,The Smiths,2,2QVQ9jDMP7FTYMnIhcC4gk,(500) Days of Summer (Music from the Motion Picture),2009-07-14,"Maxi Pop  GOLD (New Wave, Electropop, Synth Pop...)",2nRWtTI9a2LWjJ9Wy3JZs5,pop,electropop,0.465,0.69,1,-9.782,0,0.0297,0.0105,0,0.183,0.836,136.275,242907
4yEyeWa53n6yAx8kxxj8kt,Bite My Tongue,The Academic,26,1FpIi2NcYiXBGJcXhAzJQc,Tales from the Backseat,2018-01-12,permanent wave,3uFyGoayrP71xS6T6Y8Bh2,rock,permanent wave,0.53,0.85,7,-3.813,1,0.037,9.77E-05,2.48E-06,0.29,0.546,139.894,206012
0dgwWXkfcWyB2a2qTgEc0F,Verano Azul,Juan Magán,63,687yvcM8ZmPohOsrrXh8Zu,Verano Azul,2009-01-01,REGGAETON ANTIGUO 🔥,42E6uFhL4e2nXmbmeigwXb,latin,reggaeton,0.887,0.87,2,-5.267,1,0.119,0.0145,0,0.015,0.838,126.047,190560
6k0eaZimYD82ZfYXxg9s9E,4runner,prettyboyshav,46,3AUr3X0sPqg83RcXi0OwqF,4runner,2019-06-14,a taste of the mainstream,4gbXqmZDUFHqlaYjf4uVyS,pop,post-teen pop,0.636,0.642,1,-8.494,1,0.032,0.00488,1.52E-06,0.0928,0.609,125.006,248314
62qhlMjSdV2xzmYrzlBgSe,balcony view,Leavv,56,4qaZE0ziOC7xarjrKgHdQz,essence,2017-12-31,Lush Lofi,37i9dQZF1DXc8kgYqQLMfH,rap,hip hop,0.676,0.202,11,-12.967,1,0.196,0.944,0.886,0.104,0.751,75.109,80000
2uXewDKMktNkkMfotqSxN6,Something About You - Single Version,Level 42,58,43lw3eUmzsmn3YSxUiMY9x,Level Best,1989-01-01,80s Pop & Rock Hits and Album Tracks,0XOIK4m26aeYSD61E5nSVW,rock,album rock,0.707,0.568,6,-13.52,0,0.0291,0.0319,0.0298,0.055,0.877,105.326,223440
0DvqAXyoA7zRB8wgH0DjRO,Ji-Eun's Sunset,City Girl,61,3M1CEjZiljxpfxoHFHoqNP,Neon Impasse,2018-07-02,Jazz Vibes,37i9dQZF1DX0SM0LYsmbMT,rap,hip hop,0.931,0.517,4,-8.476,1,0.105,0.0923,0.821,0.114,0.171,118.021,168814
1WWLz0CA4qYZt0VfJIqIc7,Su Cotorreo,Derian,45,5lnhSp0jK7MkLr0eTtgWIy,El Fichaje Estelar,2019-05-24,Arena Hip-Hop,37i9dQZF1DWVFZbCNivv6B,rap,hip hop,0.734,0.704,10,-6.253,0,0.0448,0.0842,0,0.107,0.899,82.504,289443
3spqYs23KuMYNRDv0ReTEK,Intocable,Don Omar,2,3hKDEHUzH1GmdohemezsEw,"The Gold Series ""The Last Don""",2004-01-01,This Is: Don Omar,37i9dQZF1DWYBUdckfg1va,latin,reggaeton,0.887,0.631,7,-8.124,1,0.172,0.102,9.89E-05,0.107,0.482,95.032,166707
41ksghOPftN3m8UBPiM8Eu,Shambo,NAEMS,23,4wurQkpmcUEyDBhnmjHuvo,Shambo,2019-06-07,Big Room Beast,3PNyCpkY7NAXyhopBpj7vc,edm,big room,0.535,0.99,6,-1.338,0,0.104,0.0645,0.779,0.155,0.0852,140.041,147429
