Formatted Date,Summary,Precip Type,Temperature (C),Apparent Temperature (C),Humidity,Wind Speed (km/h),Wind Bearing (degrees),Visibility (km),Loud Cover,Pressure (millibars),Daily Summary
2008-11-24 22:00:00.000 +0100,Overcast,rain,2.772222222,-1.805555556,0.71,20.608,147,14.8764,0,1002.38,Mostly cloudy throughout the day.
2008-05-18 20:00:00.000 +0200,Mostly Cloudy,rain,21.35,21.35,0.76,2.9946,189,10.3523,0,1004.95,Mostly cloudy throughout the day.
2007-03-10 16:00:00.000 +0100,Overcast,rain,9.866666667,8.372222222,0.71,10.6743,0,10.8836,0,1027.3,Overcast throughout the day.
2008-12-06 15:00:00.000 +0100,Mostly Cloudy,rain,10.01666667,10.01666667,0.83,9.7083,161,11.1251,0,1008.71,Mostly cloudy throughout the day.
2014-01-27 21:00:00.000 +0100,Overcast,snow,-4.977777778,-4.977777778,0.88,3.22,340,3.4937,0,1006.51,Foggy until evening.
2006-08-28 04:00:00.000 +0200,Overcast,rain,15,15,0.93,24.0695,309,7.9695,0,1011.13,Mostly cloudy until evening.
2009-08-10 18:00:00.000 +0200,Mostly Cloudy,rain,27.77777778,27.07777778,0.33,11.27,140,9.982,0,1015.7,Mostly cloudy throughout the day.
2015-01-01 08:00:00.000 +0100,Clear,snow,-7.7,-11.73333333,0.77,7.9212,202,8.1305,0,0,Partly cloudy starting overnight continuing until morning.
2008-08-21 20:00:00.000 +0200,Partly Cloudy,rain,26.10555556,26.10555556,0.4,7.3416,9,10.3523,0,1016.62,Partly cloudy in the morning.
2012-01-22 04:00:00.000 +0100,Overcast,rain,1.666666667,-2.3,0.79,14.7476,191,6.7137,0,1006.11,Mostly cloudy throughout the day.
2007-01-07 23:00:00.000 +0100,Clear,rain,1.305555556,-2.061111111,0.95,11.3827,231,4.2987,0,1023.11,Partly cloudy starting in the afternoon continuing until evening.
2015-11-05 22:00:00.000 +0100,Foggy,snow,-0.1055555556,-0.1055555556,1,3.22,200,0.2898,0,1023.32,Foggy until night.
2009-07-21 07:00:00.000 +0200,Partly Cloudy,rain,18.88888889,18.88888889,0.73,8.05,170,9.982,0,1020.7,Partly cloudy starting in the morning.
2015-09-20 22:00:00.000 +0200,Overcast,rain,17.73333333,17.73333333,0.78,16.7601,359,15.8263,0,1014.83,Mostly cloudy throughout the day.
2007-11-22 07:00:00.000 +0100,Mostly Cloudy,rain,1.183333333,-1.761111111,0.93,9.5151,169,3.7513,0,1020.93,Foggy starting overnight continuing until morning.
2010-03-13 02:00:00.000 +0100,Overcast,rain,1.733333333,-2.105555556,0.78,14.1519,271,14.7315,0,1016.86,Mostly cloudy until night and breezy in the afternoon.
2009-09-27 18:00:00.000 +0200,Overcast,rain,22.22222222,22.22222222,0.46,9.66,340,9.982,0,1024.9,Partly cloudy throughout the day.
